BGP_ID,Lat,Long,Johanna Pop_ID,State,CityTown,Climate,Urban,Sex,Month,Day,Record_no,Inversion_geno,inv_k3,Band_no,color,Population,sample #,raw data,coverage,Q20(%),Q30(%),GC(%),Final DNA Quant,F_MISS,MEAN_DEPTH,pop1,pop2,Body Feathers/Upper Calamus,
19N02195,42.70901,-103.0233,front_range_N,NE,Chadron,,,U,8,31,,AA,AwAw,279115092,#004488,western,Y_19N02195,5170388400,4.575564956,98.13,94.84,44.57,0.787825,0.0240826,6.89045,0.9430648,0.0569352,,
19N02196,42.70901,-103.0233,front_range_N,NE,Chadron,,,U,8,31,,AB,AwB,279115094,#004488,western,Y_19N02196,6958251900,6.157745044,98.23,94.92,42.16,1.01847,0.0115782,8.45633,0.9167424,0.0832577,,
19N02515,42.49028,-123.475,coastal_N,OR,Merlin,,,U,5,29,,AA,AwAw,274157087,#004488,western,Y_19N02515,5141513100,4.550011593,98.13,94.8,43.19,0.47478,0.0344196,6.44114,0.9998987,0.0001012,,
19N02516,42.49028,-123.475,coastal_N,OR,Merlin,,,M,5,29,,AA,AwAw,274157092,#004488,western,Y_19N02516,5660094600,5.008933274,98.32,95.2,43.36,0.618535,0.0208,7.39266,0.9998987,0.0001013,,
19N02602,42.01944,-122.14,coastal_N,CA,Doris,,,M,5,31,,AA,AwAw,274757097,#004488,western,Y_19N02602,7257344400,6.422428673,98.25,95.07,42.95,0.9146,0.0139875,7.88096,0.9998986,0.0001014,,
20N001276,35.8362,-106.2567,front_range_S,NM,White Rock,,,U,8,26,,AA,AwAw,270148476,#004488,western,Y_20N001276,7169013300,6.344259558,98.28,95.12,42.7,1.01543,0.00715451,9.20507,0.9998986,0.0001014,,
20N002437,35.87528,-106.3144,front_range_S,NM,Los Alamos,,,U,7,22,,AA,AwAw,270148464,#004488,western,Y_20N002437,6252496200,5.533182478,98.18,94.81,42.69,1.454975,0.0125272,7.80287,0.9966214,0.0033786,,
20N002438,35.87528,-106.3144,front_range_S,NM,Los Alamos,,,U,7,22,,AA,AwAw,270148465,#004488,western,Y_20N002438,5203815600,4.605146549,98.34,95.33,43.12,0.924865,0.0330851,7.08642,0.9832975,0.0167025,,
20N01801,39.82061,-75.72807,east,PA,Avondale,,,M,5,27,,AB,AeB,283119017,#5aae61,eastern,Y_20N01801,2322509400,2.055318053,97.86,94.33,48.53,0.316845,0.194949,3.0196,0.0203501,0.9796499,,
20N01802,39.82061,-75.72807,east,PA,Avondale,,,F,7,22,,BB,BB,283119055,#5aae61,eastern,Y_20N01802,7009155900,6.202792832,98.42,95.35,42.19,2.47609,0.0124433,8.44194,0.0001008,0.9998991,,
